ra,dec
150.29412830602533,1.7994872149079666
150.2809057312408,1.8254545708861536
150.2825537987723,1.87737947490638
150.17028050023694,1.9979891075012728
150.3050874447741,2.0494196836951857
150.0953289162128,2.091997331943221
150.39991595514732,2.02983500860216
149.8185657813858,1.9745398069995577
149.9596376597786,1.924291754136546
149.88244453723408,1.989569443130324
149.92373707997004,1.9781522103299465
149.82711699090214,2.2238503300289207
149.89840621091304,2.212485280420894
149.815995156816,2.3072926267073104
150.12125362292264,1.871542202799844
150.01162905434649,2.110518328055137
