area,MAG_AUTO_F444W,MAGERR_AUTO_F444W,KRON_RADIUS_F444W,PETRO_RADIUS_F444W,ALPHA_J2000_F444W,DELTA_J2000_F444W,A_IMAGE_F444W,B_IMAGE_F444W,THETA_IMAGE_F444W,ELONGATION_F444W,ELLIPTICITY_F444W,CLASS_STAR_F444W,FLUX_RADIUS_F444W,idx42,d2d42,MAG_AUTO_F277W,MAGERR_AUTO_F277W,KRON_RADIUS_F277W,PETRO_RADIUS_F277W,ALPHA_J2000_F277W,DELTA_J2000_F277W,A_IMAGE_F277W,B_IMAGE_F277W,THETA_IMAGE_F277W,ELONGATION_F277W,ELLIPTICITY_F277W,CLASS_STAR_F277W,FLUX_RADIUS_F277W,idx415,d2d415,MAG_AUTO_F150W,MAGERR_AUTO_F150W,KRON_RADIUS_F150W,PETRO_RADIUS_F150W,ALPHA_J2000_F150W,DELTA_J2000_F150W,A_IMAGE_F150W,B_IMAGE_F150W,THETA_IMAGE_F150W,ELONGATION_F150W,ELLIPTICITY_F150W,CLASS_STAR_F150W,FLUX_RADIUS_F150W,idx411,d2d411,MAG_AUTO_F115W,MAGERR_AUTO_F115W,KRON_RADIUS_F115W,PETRO_RADIUS_F115W,ALPHA_J2000_F115W,DELTA_J2000_F115W,A_IMAGE_F115W,B_IMAGE_F115W,THETA_IMAGE_F115W,ELONGATION_F115W,ELLIPTICITY_F115W,CLASS_STAR_F115W,FLUX_RADIUS_F115W
10,26.49431834125672,0.0672618471221153,7.24,5.94,150.2578403399107,1.9138662369743769,2.438,1.557,-38.39,1.566,0.362,0.645,6.194,76951.0,0.0318789614139286,27.67756837003129,0.1019425575647848,6.09,5.94,150.25783446137518,1.9138596114843167,1.597,1.323,42.01,1.207,0.172,0.253,3.014,31295.0,0.0589462087512592,27.41870609935543,0.1053282911658665,3.5,6.6,150.25783466775565,1.913850875702359,1.677,0.907,-89.15,1.85,0.459,0.145,1.56,311488.0,0.0494666807121597,27.45,-1.0,3.5,4.62,150.257832,1.913855,1.126,0.865,78.57,1.302,0.232,0.0,1.263
10,26.228911936230563,0.0449800131219506,5.04,5.94,150.32041106365097,1.9080116082936365,2.558,2.24,19.24,1.142,0.124,0.587,3.667,488766.0,0.0237781783282533,27.24058202590428,0.0695625953837999,5.01,7.26,150.32040578962716,1.908015588518136,1.751,1.629,-82.76,1.075,0.07,0.242,2.55,146856.0,0.0060328440877444,27.391513984883083,0.1697244616702274,5.49,9.24,150.32041163733845,1.9080131829427136,1.866,0.792,59.76,2.355,0.575,0.002,2.536,403488.0,0.0130825525749475,27.12212542101456,0.1583477654851669,5.05,8.58,150.320408,1.908013,1.672,0.961,66.08,1.74,0.425,0.0,2.453
10,26.26502687096059,0.0605715321077054,5.99,9.9,150.2925662654493,1.9461037649113704,3.146,2.175,-0.61,1.447,0.309,0.018,5.477,492669.0,0.0318209403016567,27.399768440866804,0.0798343981601533,4.86,4.62,150.2925578244815,1.946106403624149,1.966,1.546,-69.81,1.272,0.214,0.012,2.527,360173.0,0.0460231123457959,27.45246247352452,0.1733089523916668,5.26,5.28,150.2925538673786,1.9461069114690568,1.404,1.067,-77.83,1.315,0.24,0.0,1.998,95584.0,0.077414706316772,26.93123343482594,0.1108719857276732,3.5,6.6,150.292545,1.9461,1.949,1.178,-62.23,1.654,0.395,0.0,2.408
10,26.214371071956315,0.0416648370323738,4.77,8.58,150.29063575332955,1.946442963629982,2.395,2.369,50.83,1.011,0.011,0.961,3.546,2491.0,0.039975567563755,27.41514532360832,0.0594140419018608,3.54,6.6,150.29063851880443,1.9464537184888984,2.237,1.368,61.76,1.636,0.389,0.611,2.149,150595.0,0.028521731382371,26.86101165204193,0.092966794053888,5.24,5.94,150.29063765394588,1.94645065525207,1.2,1.105,89.14,1.086,0.079,0.965,1.477,95531.0,0.0159384868890682,27.361905254939305,0.1091259180432625,3.5,3.96,150.290635,1.946447,1.118,0.858,-45.76,1.304,0.233,0.701,1.04
9,24.75135673948196,0.0116763075808145,3.5,3.5,150.2187241092159,1.973966441463885,4.068,3.263,-89.19,1.247,0.198,0.977,3.204,407283.0,0.0287217308924402,26.743390157531955,0.0372430755277547,3.98,5.28,150.21872631325795,1.973974109617016,2.041,1.847,16.92,1.105,0.095,0.682,2.255,38368.0,0.0247970381950824,27.43865949294444,0.1142102480466854,3.5,5.94,150.21873098156624,1.9739659196466408,1.71,1.041,-1.98,1.642,0.391,0.003,1.93,228390.0,0.0196738188650573,26.9499359828914,0.159005746876929,6.29,4.62,150.218721,1.973971,1.613,1.042,1.03,1.548,0.354,0.0,3.053
4,26.939944183390907,0.0679582614792961,4.44,5.94,150.17028050023694,1.9979891075012728,3.157,1.561,17.98,2.023,0.506,0.183,3.374,409421.0,0.0300508443262334,27.90180722545968,0.0839971964123629,3.72,5.28,150.17028509221953,1.997982134742771,1.794,1.455,8.46,1.233,0.189,0.007,2.568,85322.0,0.0538607457072761,27.656308833495448,0.1202220759274666,3.53,6.6,150.17026935516873,1.9979990964693328,1.236,0.996,65.59,1.241,0.194,0.003,1.761,230334.0,0.0200972291448196,27.03113294596906,0.1663120728840646,5.99,7.92,150.170275,1.997987,1.645,1.058,57.73,1.555,0.357,0.0,2.768
4,24.470667603979376,0.0074659275783275,3.5,3.96,150.18265427604783,2.009844520726711,3.155,2.874,-87.6,1.098,0.089,0.976,3.036,412700.0,0.0078745504061616,26.67099980192521,0.0310787546462188,3.53,4.62,150.18265430956072,2.009846707845398,2.041,1.824,-83.44,1.119,0.106,0.746,2.196,87684.0,0.0037392944359451,27.41742826968219,0.1279935845844858,5.09,5.28,150.1826548922,2.009845357211264,1.128,0.949,61.93,1.189,0.159,0.872,1.403,232625.0,0.015960833446048,26.908865190073705,0.1240991477453919,5.24,3.5,150.18265,2.009844,1.513,1.046,-12.13,1.447,0.309,0.0,2.407
4,25.62736334343503,0.0251686421754459,4.78,5.28,150.21572694611476,1.9989918824297896,2.725,2.419,8.52,1.127,0.113,0.914,3.704,412935.0,0.0050864740316845,26.721927584503167,0.0428374783807662,4.11,6.6,150.21572624019043,1.998990658260555,2.255,2.142,55.23,1.053,0.05,0.015,3.016,87805.0,0.0086489894568642,26.9434411801528,0.0845757516983561,4.16,5.94,150.21572865425793,1.998993572929493,1.572,1.088,18.31,1.444,0.308,0.008,1.829,232726.0,0.0209707549716872,26.583753554737307,0.1454434514301118,6.96,10.56,150.215723,1.998988,1.608,1.385,-14.8,1.161,0.139,0.0,4.238
4,26.34647928566481,0.0421355960232665,3.84,6.6,150.23551865134127,2.0099318302060416,3.703,2.066,-74.74,1.792,0.442,0.415,3.659,417871.0,0.0304423759127955,27.831015727808992,0.0701510527758419,3.52,5.28,150.23552180763303,2.009939676074883,1.555,1.452,56.49,1.071,0.066,0.667,1.948,91210.0,0.0388506868132957,27.591139839722683,0.1097692046359351,3.5,7.92,150.23552599590502,2.009939741459123,1.207,1.016,-47.65,1.188,0.158,0.238,1.645,236317.0,0.0423066199253083,27.106791637751744,0.0866061654705575,3.5,4.62,150.235525,2.009942,1.198,1.011,-12.54,1.186,0.157,0.019,1.306
4,27.36960080859972,0.0687683069745456,3.5,5.94,150.23000348949117,2.0157744914478504,2.037,1.82,-73.07,1.119,0.106,0.375,2.973,418844.0,0.0205766525536085,28.28,-1.0,5.47,4.62,150.22999777553153,2.0157742450574587,1.37,0.974,-1.09,1.406,0.289,0.911,1.679,91864.0,0.0317907625466177,27.04298096286072,0.1515777784512345,6.35,5.94,150.2299954531924,2.015770819900632,1.856,1.044,-0.95,1.779,0.438,0.025,3.551,237075.0,0.0315976730532925,27.39140235201014,0.1196784460883027,3.5,4.62,150.229996,2.01577,1.239,1.04,-55.07,1.192,0.161,0.096,1.461
