ID,area,BDSED,MAG_AUTO_F444W,MAGERR_AUTO_F444W,KRON_RADIUS_F444W,PETRO_RADIUS_F444W,ALPHA_J2000_F444W,DELTA_J2000_F444W,A_IMAGE_F444W,B_IMAGE_F444W,THETA_IMAGE_F444W,ELONGATION_F444W,ELLIPTICITY_F444W,CLASS_STAR_F444W,FLUX_RADIUS_F444W,idx42,d2d42,MAG_AUTO_F277W,MAGERR_AUTO_F277W,KRON_RADIUS_F277W,PETRO_RADIUS_F277W,ALPHA_J2000_F277W,DELTA_J2000_F277W,A_IMAGE_F277W,B_IMAGE_F277W,THETA_IMAGE_F277W,ELONGATION_F277W,ELLIPTICITY_F277W,CLASS_STAR_F277W,FLUX_RADIUS_F277W,idx415,d2d415,MAG_AUTO_F150W,MAGERR_AUTO_F150W,KRON_RADIUS_F150W,PETRO_RADIUS_F150W,ALPHA_J2000_F150W,DELTA_J2000_F150W,A_IMAGE_F150W,B_IMAGE_F150W,THETA_IMAGE_F150W,ELONGATION_F150W,ELLIPTICITY_F150W,CLASS_STAR_F150W,FLUX_RADIUS_F150W,idx411,d2d411,MAG_AUTO_F115W,MAGERR_AUTO_F115W,KRON_RADIUS_F115W,PETRO_RADIUS_F115W,ALPHA_J2000_F115W,DELTA_J2000_F115W,A_IMAGE_F115W,B_IMAGE_F115W,THETA_IMAGE_F115W,ELONGATION_F115W,ELLIPTICITY_F115W,CLASS_STAR_F115W,FLUX_RADIUS_F115W
12006,10,0,25.86277083977365,0.0287937308813506,4.56,4.62,150.2809057312408,1.8254545708861536,2.419,2.315,-85.76,1.045,0.043,0.959,3.176,471994.0,0.007148707697584,27.039382222355933,0.051035176197588,3.99,5.94,150.28090559492514,1.825456551958704,1.949,1.842,-11.84,1.058,0.055,0.2,2.56,133984.0,0.0067905579538903,27.04260953815276,0.1159889044080538,5.17,8.58,150.28090476073982,1.825456188626356,1.352,1.1,-58.11,1.229,0.186,0.218,2.141,389148.0,0.0134984595066067,27.20579779491387,0.1371908051469165,4.83,6.6,150.280908,1.825458,1.236,0.93,74.36,1.33,0.248,0.012,1.687
12007,10,1,26.73925781384961,0.0558505644542772,4.71,5.94,150.2825537987723,1.87737947490638,2.058,1.893,37.9,1.087,0.08,0.944,3.164,481287.0,0.0066425079432495,27.6461133079695,0.0664031236008918,3.5,7.26,150.28255303888767,1.8773777933176323,1.67,1.548,-13.0,1.078,0.073,0.217,2.506,141165.0,0.0168715071401187,27.188067856349846,0.1525290596338409,6.45,6.6,150.28255743976428,1.8773824280346727,1.398,0.92,72.78,1.52,0.342,0.001,2.482,397201.0,0.0155023070230468,27.28535207363175,0.17451654878944,5.86,6.6,150.28255,1.87738,1.172,0.938,-76.96,1.25,0.2,0.0,1.963
12016,4,1,26.939944183390907,0.0679582614792961,4.44,5.94,150.17028050023694,1.9979891075012728,3.157,1.561,17.98,2.023,0.506,0.183,3.374,409421.0,0.0300508443262334,27.90180722545968,0.0839971964123629,3.72,5.28,150.17028509221953,1.997982134742771,1.794,1.455,8.46,1.233,0.189,0.007,2.568,85322.0,0.0538607457072761,27.656308833495448,0.1202220759274666,3.53,6.6,150.17026935516873,1.9979990964693328,1.236,0.996,65.59,1.241,0.194,0.003,1.761,230334.0,0.0200972291448196,27.03113294596906,0.1663120728840646,5.99,7.92,150.170275,1.997987,1.645,1.058,57.73,1.555,0.357,0.0,2.768
12026,4,1,24.986988179049533,0.0111923334526124,3.5,3.96,150.3050874447741,2.0494196836951857,3.115,2.49,25.69,1.251,0.201,0.977,2.882,434270.0,0.0219319899342223,26.09795064470441,0.0283139490317504,4.24,5.28,150.30504346692186,2.0494372965407304,3.017,2.053,12.43,1.47,0.32,0.751,2.608,375345.0,0.0106326464201567,25.388773493033504,0.0225725338418385,3.54,3.5,150.30508470573943,2.049420792984187,1.706,1.47,-35.24,1.161,0.138,0.739,1.396,111800.0,0.0018979396355644,25.38865542531523,0.0257041027227277,3.5,3.5,150.305087,2.049419,1.579,1.324,12.5,1.193,0.162,0.051,1.291
12032,3,0,26.291736013711525,0.0365698048896328,4.16,5.28,150.0953289162128,2.091997331943221,2.367,2.186,75.28,1.083,0.077,0.897,3.122,318694.0,0.0074200626673577,27.274717043604195,0.0661393466586349,4.71,7.26,150.09532701073348,2.0919981207636527,1.986,1.586,79.74,1.252,0.201,0.207,2.601,256739.0,0.0203361984659456,27.50127621096463,0.1004793940555281,3.5,6.6,150.09532339554437,2.0919961181055613,1.226,0.969,-74.3,1.264,0.209,0.059,1.513,428347.0,0.0216344978407137,26.9740778082794,0.1442542206254323,6.12,10.56,150.095323,2.091997,1.374,1.007,-66.7,1.365,0.267,0.0,2.48
12043,5,0,24.27377788603033,0.0073473712420054,3.5,3.5,150.39991595514732,2.02983500860216,3.618,3.289,-87.25,1.1,0.091,0.971,3.217,24041.0,0.0117307850980483,26.145828346892323,0.0258891377472266,4.14,5.94,150.39991656525314,2.0298318076030646,2.243,2.033,88.23,1.103,0.094,0.771,2.305,377086.0,0.0183132306928786,27.15393795428643,0.12504780351038,5.2,3.96,150.3999205056511,2.029832729007992,1.368,1.026,-2.61,1.333,0.25,0.146,2.094,113511.0,0.0336368539448178,26.790853444595754,0.0857826305430052,3.72,3.96,150.399921,2.029827,1.346,1.199,57.53,1.123,0.109,0.018,1.515
12048,6,0,26.27598621108848,0.0359937199502147,4.44,5.28,149.8185657813858,1.9745398069995577,2.274,2.057,25.25,1.105,0.095,0.974,2.923,212097.0,0.0037248635150438,27.52108139069714,0.0584527419734549,3.5,7.26,149.81856506040373,1.9745390644542025,1.798,1.503,74.01,1.196,0.164,0.915,2.24,53412.0,0.0135336684205754,27.400138369794178,0.0921734443928796,3.5,5.94,149.8185627063214,1.974541972163504,1.157,1.067,-52.31,1.084,0.077,0.196,1.362,141241.0,0.0201616415655172,27.45,-1.0,3.5,5.28,149.818562,1.974544,1.021,0.931,74.23,1.096,0.088,0.771,1.084
12049,7,0,24.95911010226387,0.0112616544898417,3.5,3.96,149.9596376597786,1.924291754136546,3.111,2.671,-80.79,1.165,0.141,0.978,3.021,265266.0,0.0067512092609622,26.243601054992386,0.0261287521538043,4.04,5.28,149.95963605772536,1.924290777814813,2.2,2.045,-28.85,1.076,0.071,0.705,2.559,331249.0,0.0016628035877041,26.96630680003651,0.0664460461124478,3.62,5.28,149.95963806892362,1.9242919689186693,1.209,1.074,-39.0,1.126,0.112,0.485,1.373,191507.0,0.007083542349493,25.959045983609364,0.0383479383940474,3.66,4.62,149.959637,1.92429,1.396,1.318,53.1,1.059,0.055,0.011,1.405
12051,7,1,24.813542220953305,0.0103293118359946,3.5,3.96,149.88244453723408,1.989569443130324,3.175,2.885,-2.86,1.101,0.091,0.978,3.006,220514.0,0.002514575020785,26.001452418735845,0.0179307961508389,3.5,3.96,149.88244392021804,1.9895697712196905,2.109,2.051,-22.99,1.028,0.027,0.973,2.202,219378.0,0.0112615753305227,25.35107382111048,0.0183576680841182,3.5,3.5,149.8824414665184,1.9895688366636453,1.492,1.445,-29.53,1.033,0.032,0.999,1.29,150044.0,0.0105946119198053,25.29174179486313,0.0199224055290568,3.5,3.5,149.882442,1.989569,1.366,1.318,85.89,1.036,0.035,0.992,1.154
12053,7,0,25.76372638805234,0.0205485590331095,3.5,4.62,149.92373707997004,1.9781522103299465,2.561,2.435,-58.52,1.052,0.049,0.977,2.959,221675.0,0.0186343311986358,27.284620803692256,0.0636562896425622,4.59,5.28,149.92373235014426,1.978154319472572,1.804,1.643,39.79,1.097,0.089,0.688,2.146,220341.0,0.0270455789108962,27.66,-1.0,3.58,4.62,149.92372956608,1.978152431238121,1.026,0.941,-8.04,1.09,0.082,0.001,1.327,151300.0,0.0133656962207351,27.408450266019592,0.1203332979581548,3.5,6.6,149.923735,1.978149,1.292,1.001,-41.93,1.291,0.225,0.001,1.652
12069,1,0,25.351645198785675,0.0152554526554351,3.5,4.62,149.82711699090214,2.2238503300289207,2.786,2.557,-22.6,1.09,0.082,0.977,2.958,382696.0,0.0074152137733251,27.14374585329784,0.0452926772004054,3.5,4.62,149.82711653641985,2.2238483209353146,2.034,1.654,71.3,1.23,0.187,0.027,2.249,301838.0,0.0089054790145259,27.58074063873241,0.1411278260534212,4.46,5.28,149.8271193334659,2.223849529986354,1.123,1.056,23.41,1.063,0.06,0.254,1.343,27200.0,0.0008932595251911,27.189895991462947,0.1057020221502179,3.5,6.6,149.827117,2.22385,1.46,0.997,51.71,1.465,0.317,0.0,1.637
12070,1,2,26.61303427729776,0.0448737588624362,3.5,5.28,149.89840621091304,2.212485280420894,3.011,2.025,64.13,1.487,0.327,0.338,3.199,385795.0,0.0134192013405806,27.693300319453915,0.0971519959556965,5.12,5.28,149.89840411339534,2.212482197946272,1.642,1.551,-34.49,1.058,0.055,0.082,2.172,304078.0,0.0299289067110733,27.3323298909869,0.158223511954438,4.76,6.6,149.89839943937235,2.212480450278514,1.664,1.235,64.4,1.348,0.258,0.0,2.168,29374.0,0.0174378512136211,27.45,-1.0,4.36,4.62,149.898405,2.212481,1.154,0.903,89.22,1.278,0.217,0.0,1.619
12075,1,0,25.29677205274366,0.0169365614131034,4.22,3.96,149.815995156816,2.3072926267073104,2.783,2.435,-28.68,1.143,0.125,0.976,3.046,400229.0,0.0053435732559523,26.99215492781891,0.0389261666569926,3.5,4.62,149.8159953466271,2.307294098866791,1.876,1.75,-70.81,1.072,0.067,0.677,2.106,314721.0,0.0264647984728654,27.30418173543993,0.081982196471693,3.5,5.28,149.81599007090645,2.307297938726106,1.152,0.952,-85.31,1.21,0.173,0.993,1.091,41558.0,0.0166770100387892,27.331318638232915,0.1326822437243368,4.3,4.62,149.816,2.307294,1.083,1.073,-63.2,1.01,0.01,0.355,1.171
12084,9,1,25.98101181694216,0.0256624761918324,4.08,4.62,150.12125362292264,1.871542202799844,2.325,2.079,-80.03,1.118,0.106,0.975,2.736,55324.0,0.0017801897150236,26.91199287608593,0.0355409851068641,3.5,4.62,150.12125342403186,1.8715426555824373,1.827,1.764,-89.23,1.036,0.034,0.864,2.085,14231.0,0.0105569976808451,25.926690366654288,0.0328234178041381,3.5,5.94,150.12125279382266,1.871545015783828,1.822,1.295,69.01,1.406,0.289,0.984,1.434,290855.0,0.0045068606856107,26.065021925719662,0.040882382632867,3.64,4.62,150.121254,1.871543,1.354,1.216,86.63,1.113,0.102,0.012,1.326
12079,2,0,26.087957990430525,0.0373910024256714,5.15,5.28,150.01162905434649,2.110518328055137,2.433,2.201,-4.34,1.105,0.095,0.769,3.348,106483.0,0.0096767186604553,27.29937332062868,0.0482170195973372,3.5,5.94,150.0116316104302,2.110519165025707,1.827,1.631,-63.92,1.12,0.107,0.41,2.189,166314.0,0.0065145458385225,27.35130258487662,0.0910363230948029,3.5,5.28,150.01162785354038,2.110519682550696,1.274,1.044,-67.16,1.221,0.181,0.025,1.497,340478.0,0.0041411666506605,27.30874592529269,0.1065465064761211,3.5,5.28,150.01163,2.110519,1.256,1.021,-67.42,1.23,0.187,0.001,1.467
