Teff,logg,logZ,CtoO,logKzz,F115W,F150W,F277W,F444W
500,4.0,-1.5,0.1,10,-26.304062551304575,-26.750018070312024,-26.528059107932386,-30.9827191782291
500,4.0,-1.5,0.55,-1,-26.57570881822482,-26.855676293224995,-26.673453770531054,-31.04059367650629
500,4.0,-1.5,0.55,2,-26.58970184643403,-26.90768263281509,-26.72186075757637,-31.039236139367915
500,4.0,-1.5,0.55,10,-26.596296181588333,-26.97184180118516,-26.7942526324409,-31.021499998045957
500,4.0,-1.5,0.85,-1,-26.596001839177546,-26.937527168511103,-26.73179176455609,-31.041561608218156
500,4.0,-1.5,0.85,2,-26.573528772350148,-26.97225854637078,-26.787467190350682,-31.038659269145434
500,4.0,-1.5,0.85,10,-26.604705980876346,-27.046488714034467,-26.86431789382794,-31.01562930008817
500,4.0,-1.0,0.1,-1,-27.211622978588874,-26.83676350553355,-26.037095943961507,-30.959050951586438
500,4.0,-1.0,0.1,2,-27.17378976083993,-26.936425408279998,-26.179500259750807,-30.96459865796939
500,4.0,-1.0,0.1,10,-27.211833091581678,-27.115549297436722,-26.386522254968273,-30.87929536576891
500,4.0,-1.0,0.55,-1,-27.540611008193174,-26.923703851804444,-26.30732321474069,-30.991190582497133
500,4.0,-1.0,0.55,2,-27.472425625506656,-27.042320193464953,-26.481081968627947,-30.986653127874604
500,4.0,-1.0,0.55,10,-27.63782629323153,-27.33843865358622,-26.767175997935354,-30.813116326311413
500,4.0,-1.0,0.85,-1,-27.50974682091748,-26.875099071927888,-26.403578754145887,-30.994588196924116
500,4.0,-1.0,0.85,2,-27.441216432733423,-27.01071678828173,-26.575618440276997,-30.984151786691875
500,4.0,-1.0,0.85,10,-27.592689271307623,-27.29403630350674,-26.838924831393477,-30.89410733432441
500,4.0,-0.5,0.1,-1,-28.096781662133733,-27.15342517653303,-25.783184584471105,-30.8122355080827
500,4.0,-0.5,0.1,2,-27.86591728154809,-27.34500275763155,-26.187998603029158,-30.811041999481866
500,4.0,-0.5,0.1,10,-27.913126273243147,-27.530453283835172,-26.37163602845332,-30.63494334461213
500,4.0,-0.5,0.55,-1,-28.330108773349096,-27.02554760826233,-26.05191807948685,-30.835154120458835
500,4.0,-0.5,0.55,2,-28.132465315259644,-27.28366143239296,-26.463987495550594,-30.78909472804876
500,4.0,-0.5,0.55,10,-28.38189391282233,-27.65550935847953,-26.789211178374877,-30.42743685971635
500,4.0,-0.5,0.85,-1,-28.257403912113137,-26.9548359578631,-26.149926383268397,-30.849941044532684
