Teff,log_g,[M/H],F115W,F150W,F277W,F444W
250,2.5,-1.0,31.756421142047632,29.87376855870039,28.587717251635606,20.49692610771297
250,2.5,-0.5,30.52449238221895,29.80433131329486,28.807720157017584,20.898473417046034
250,2.5,0.0,29.55934554026697,29.99533786932541,28.880833427745376,21.91093194719933
250,2.5,0.3,29.410039355691254,30.45428609330684,29.013355515556437,22.581990741569502
250,3.0,-1.0,32.16251029363431,30.011345460102255,29.0838233017714,20.463941775637053
250,3.0,-0.5,31.16679050969485,30.061861783482442,29.62418945951547,20.746076644013343
250,3.0,0.0,30.25682323441501,30.3809324465499,29.7305500462541,21.547549713844816
250,3.0,0.3,29.82832314271059,30.661818499548062,29.695469739299615,22.24866913244861
250,3.5,-1.0,32.36203162825268,30.060916622408726,29.27788622446635,20.397854877213234
250,3.5,-0.5,31.78775631705316,30.234887881732597,30.1900622192261,20.695833996327764
250,3.5,0.0,31.128155485190177,30.78623197749224,30.334669994738075,21.24852020819892
250,3.5,0.3,30.505657264644558,30.98125213728879,30.239134490587247,21.729892347757414
250,4.0,-1.0,32.36306751706223,30.215135213113363,29.20944368368499,20.318306697803852
250,4.0,-0.5,32.317412353410845,30.330875787958608,30.25493715333452,20.64853430690459
250,4.0,0.0,31.809056150881805,30.93697028708549,30.622442374349447,21.06723684182191
250,4.0,0.3,31.59622593675089,31.512757729300006,30.6715983614109,21.409546228947043
250,4.5,-1.0,32.361203804004234,30.60171060028459,28.82261082891823,20.31555949355485
250,4.5,-0.5,32.74983603714049,30.530952314372342,29.901150145889247,20.645423174583772
250,4.5,0.0,32.45187955548434,30.94318307473108,30.63894248129305,20.94860948062224
250,4.5,0.3,32.34657194622194,31.599794866229487,30.853938793007746,21.159951997153755
250,5.0,-1.0,32.21051077784682,31.075498434833392,28.276765078715165,20.220252052883648
250,5.0,-0.5,32.97524427630543,30.988977870301213,29.474076191762293,20.56651867638323
250,5.0,0.0,33.1082556849217,30.959036771632764,30.432291532629947,20.820287766522117
250,5.0,0.3,32.78408079575436,31.239015783635153,30.81393112478242,20.97686465659901
250,5.5,-1.0,32.08676515462521,31.5471538295505,27.73005936822384,20.08928726273765
250,5.5,-0.5,32.76974303194451,31.48849017342534,28.97929494065285,20.44453050876202
250,5.5,0.0,33.632538890201225,31.094686100596242,30.111714309149807,20.663881116420622
250,5.5,0.3,33.3387793404702,30.975970872505467,30.597730568659934,20.79868277622245
275,2.5,-1.0,29.754949580606358,28.313300848502422,27.231027188971552,20.09642265124509
275,2.5,-0.5,28.53441114194263,28.151053423717624,27.33534856944185,20.519072741932693
275,2.5,0.0,27.776158404123777,28.365555517929636,27.424795997896606,21.497290584458817
275,2.5,0.3,27.73936633480716,28.81779753489942,27.586624887845996,22.038709234595196
275,3.0,-1.0,30.25075589687209,28.570777891145347,27.798272658652216,20.059030505165076
275,3.0,-0.5,29.334931145555913,28.590739553039445,28.166106951371262,20.3949151647428
275,3.0,0.0,28.17991444150813,28.579118845125624,28.090729721979418,21.158253778078702
275,3.0,0.3,27.967331752496882,28.952315128400222,28.069196602810564,21.814850717088415
275,3.5,-1.0,30.525506027683672,28.666448844894276,28.045393085581726,19.973574092070198
275,3.5,-0.5,29.890069217337413,28.792827343302093,28.657444469660525,20.28073443185653
275,3.5,0.0,28.934998408949436,28.97032109421618,28.647541223063563,20.79542193773086
275,3.5,0.3,28.66203594324153,29.34499851057167,28.53766683777513,21.37824656610089
275,4.0,-1.0,30.82760902682334,28.844779588200026,27.97914355229882,19.93684019280923
275,4.0,-0.5,30.43895433794852,28.957474492311515,28.779055330051705,20.231668291469017
275,4.0,0.0,29.754872369430675,29.30655443521735,28.95234562478171,20.58272862003409
275,4.0,0.3,29.44449486795602,29.711489735137192,28.96841153524095,20.917508799993975
275,4.5,-1.0,31.175126617056435,29.185908865050926,27.624580739762578,19.882464665327554
275,4.5,-0.5,30.96010967141892,29.176271351717176,28.549102153676063,20.18018730035361
275,4.5,0.0,30.627045274437226,29.591360047550133,29.084080920695715,20.43768198290423
275,4.5,0.3,30.476273750177903,30.08333810786261,29.20123592272496,20.61749381146047
275,5.0,-1.0,31.468465113546475,29.642091408810927,27.15500206339516,19.808277491963153
275,5.0,-0.5,31.474873494566733,29.589754099703818,28.20930783041598,20.09619904307184
275,5.0,0.0,31.236228257392717,29.588669603353406,29.02153311591707,20.29782033386262
275,5.0,0.3,30.840353629748524,29.77917284292577,29.249770011153878,20.41383975310918
275,5.5,-1.0,31.527590071766557,30.037505360105964,26.683641739066715,19.672228894678593
275,5.5,-0.5,31.804786493840133,29.985907333315,27.786788898747513,19.969399503011
275,5.5,0.0,31.79972311604658,29.605944424685717,28.763647347489556,20.146342144117952
275,5.5,0.3,31.32007259348957,29.49128185102008,29.13190233743937,20.24851266227597
300,2.5,-1.0,28.03415564706325,26.979424686943197,26.102229249763795,19.739031522393084
300,2.5,-0.5,26.869424970747296,26.73071701770565,26.102171775164663,20.264230897493306
300,2.5,0.0,26.374430940412893,27.037173161169488,26.259184124729362,21.098106045356566
300,2.5,0.3,26.135409966875848,27.239802765786955,26.264846619072802,21.371793040395435
300,3.0,-1.0,28.504438296491266,27.24564240365968,26.63594019991107,19.65250297462775
300,3.0,-0.5,27.479226642518068,27.118414567278016,26.826124072793842,20.019841157563604
300,3.0,0.0,26.665916569911037,27.234623097182414,26.769304643064014,20.86086179840564
300,3.0,0.3,26.6175272375162,27.672748255424185,26.80175836431395,21.42864231096982
300,3.5,-1.0,28.9764905107276,27.488375081483692,26.97918088752692,19.622584888025006
300,3.5,-0.5,28.208489502960372,27.53507835078897,27.415854903682593,19.91855338952328
300,3.5,0.0,27.431545327123654,27.699249967990568,27.226674272412655,20.456702503619233
300,3.5,0.3,26.96376194916865,27.84338844154736,27.1703444197166,21.009993793802735
300,4.0,-1.0,29.362666827351656,27.67325168208361,26.947984111606303,19.546865352453718
300,4.0,-0.5,28.85644430554775,27.808504780272724,27.495808694168527,19.856779659344404
300,4.0,0.0,28.193883727483446,28.064171649742782,27.572347749042713,20.1846015584853
300,4.0,0.3,27.832169997743726,28.345074173268063,27.532095929145814,20.507306150883498
300,4.5,-1.0,29.892557472730182,28.00431713915469,26.639085775975143,19.50785319555418
300,4.5,-0.5,29.406402838401647,28.01596753309955,27.386348690563793,19.775981497356376
300,4.5,0.0,29.03824940873679,28.38654372790924,27.757282181773668,19.98743592035505
300,4.5,0.3,28.499234620202497,28.548207994412877,27.800171546040247,20.143745643871192
300,5.0,-1.0,30.486904230167376,28.435317396870555,26.23123899586609,19.418959010868413
300,5.0,-0.5,30.106037078068248,28.393466142184423,27.142262491245347,19.679166647911618
300,5.0,0.0,29.55673923381896,28.347443183898775,27.758389164735643,19.834810804248406
300,5.0,0.3,29.161171656424017,28.482315661845576,27.91701364405371,19.927692988357425
300,5.5,-1.0,30.91384148628288,28.762435960630455,25.817038221349865,19.288824683795273
300,5.5,-0.5,30.716244776953726,28.70740267795583,26.790378417702428,19.55229350345133
300,5.5,0.0,30.18450354945206,28.354690357958216,27.60760639727732,19.691887961699614
300,5.5,0.3,29.593461470688432,28.22423239264871,27.89065304519569,19.77774545993515
350,2.5,-1.0,25.265216975946213,24.795017086524055,24.290379260552214,19.1400476730468
350,2.5,-0.5,24.301061383973863,24.563966798742598,24.23527860334505,19.614313110623392
350,2.5,0.0,24.031694750487354,24.81151391727542,24.367484934463796,20.15675064357596
350,2.5,0.3,23.778519477868684,24.923598531802767,24.362050868568428,20.236015558680105
350,3.0,-1.0,25.800856513868332,25.170238197133358,24.83982049924956,19.040134519800088
350,3.0,-0.5,24.78921977708357,24.933560630946904,24.830706743156373,19.485164948694674
350,3.0,0.0,24.1538351275236,24.942892829831855,24.714816255907635,20.180231638491847
350,3.0,0.3,24.112248966460417,25.247257801028972,24.750563725340196,20.468374615907322
350,3.5,-1.0,26.315613741158792,25.461194489205145,25.19268781931003,18.96014162449311
350,3.5,-0.5,25.559905192858942,25.442033835689266,25.22207804234395,19.344091531195755
350,3.5,0.0,24.70556778978231,25.376333587432907,25.055002646355746,19.895550366968457
350,3.5,0.3,24.657494269048215,25.734448206914674,24.990325393419187,20.30563580671871
350,4.0,-1.0,26.885016914614837,25.731287382933914,25.203564322383478,18.90484129362824
350,4.0,-0.5,26.301618211029634,25.863468003860856,25.40316410901804,19.22935668180942
350,4.0,0.0,25.379904575635706,25.808287801418494,25.335964841819788,19.492611012899307
350,4.0,0.3,25.107103599575574,26.015580833913635,25.2402788975035,19.78518709092419
350,4.5,-1.0,27.52841022874586,26.049316376527543,25.007174153742508,18.83918395008432
350,4.5,-0.5,26.84819245007958,26.097749173569767,25.470600102220597,19.089291544252237
350,4.5,0.0,26.107266685501735,26.15932450230094,25.595237395990992,19.259715497621194
350,4.5,0.3,25.70096033104464,26.235483944586882,25.54404922489868,19.397077220964505
350,5.0,-1.0,28.37822481050878,26.43409500566451,24.731843439957416,18.741281226527416
350,5.0,-0.5,27.621778565981856,26.391050563874394,25.352223856777314,18.955634315170556
350,5.0,0.0,26.80117570774361,26.26724697142422,25.704395722065758,19.083990144835102
350,5.0,0.3,26.380690591831403,26.284738011516783,25.70085566739621,19.131967639419205
350,5.5,-1.0,29.21220473376314,26.66602874815282,24.41973535579418,18.61722332715732
350,5.5,-0.5,28.397658455686532,26.55478906428726,25.14456205129033,18.827432544476718
350,5.5,0.0,27.365664511528887,26.170052193295007,25.69100935114536,18.95820427218984
350,5.5,0.3,26.63653245330991,26.039590944053703,25.7843379606541,18.99060456031374
400,2.5,-1.0,23.23002615867189,23.177867749457487,22.938792311765216,18.66807654339668
400,2.5,-0.5,22.59733191722733,23.03711319828131,22.913030662501637,19.09945975601118
400,2.5,0.0,22.334926297590325,23.15737980314236,22.98597322346877,19.36076225907862
400,2.5,0.3,22.183195653792815,23.26857584122642,23.03854369768379,19.357901760840342
400,3.0,-1.0,23.707197847386333,23.529701870960732,23.394187044629934,18.559283658363178
400,3.0,-0.5,22.73704831869036,23.20717851462807,23.24679480944299,19.02013167951019
400,3.0,0.0,22.4506351231302,23.33681477111863,23.216770988747083,19.501315384813548
400,3.0,0.3,22.363039408076546,23.528267081622552,23.206681749152178,19.615103744606298
400,3.5,-1.0,24.248032786919026,23.85776095520843,23.683203562741916,18.436914193280447
400,3.5,-0.5,23.382968630771998,23.702995554853462,23.58213217799067,18.85374378165208
400,3.5,0.0,22.78093744493112,23.638752854442853,23.396095046688426,19.35269880375449
400,3.5,0.3,22.751366134021062,23.888269057900047,23.337421649522476,19.59302867380529
400,4.0,-1.0,24.134336808294595,23.813669737186242,24.11753467062131,18.493222048341146
400,4.0,-0.5,24.092921319359167,24.163510832270383,23.808550180634814,18.64619766302623
400,4.0,0.0,23.320314351442065,24.074437666724965,23.65361159171166,18.954542918535342
400,4.0,0.3,23.0715962091754,24.140385116542106,23.533830278425903,19.252926826762607
400,4.5,-1.0,25.57806116368047,24.506776672602765,23.68898103781195,18.258246892311043
