Teff,log(g),mass,R/Rsun,F115W,F150W,F277W,F444W,Z
200.0,3.0,0.53,0.1173,35.33556562228223,33.46381562228223,32.66306562228223,21.31131562228223,0.5
225.0,3.0,0.54,0.1192,32.89756562228223,31.698315622282234,31.03356562228223,20.622315622282233,0.5
250.0,3.0,0.56,0.1211,30.81606562228223,30.204065622282236,29.605065622282233,20.02281562228223,0.5
275.0,3.0,0.58,0.1232,29.003065622282232,28.91031562228223,28.348065622282235,19.494315622282233,0.5
300.0,3.0,0.6,0.125,27.40056562228223,27.76656562228223,27.239815622282233,19.029315622282233,0.5
325.0,3.0,0.61,0.1268,25.96781562228223,26.727815622282233,26.25931562228223,18.614065622282233,0.5
350.0,3.0,0.63,0.1287,24.66656562228223,25.750065622282232,25.37381562228223,18.23506562228223,0.5
375.0,3.0,0.65,0.1306,23.49131562228223,24.81731562228223,24.569815622282228,17.885065622282234,0.5
400.0,3.0,0.67,0.1325,22.456815622282235,23.94181562228223,23.84656562228223,17.565565622282232,0.5
425.0,3.0,0.69,0.1341,21.56431562228223,23.136815622282228,23.199815622282234,17.27706562228223,0.5
450.0,3.0,0.7,0.1357,20.79856562228223,22.411565622282232,22.620565622282236,17.01681562228223,0.5
475.0,3.0,0.72,0.1371,20.141815622282234,21.769565622282233,22.10181562228223,16.784315622282232,0.5
500.0,3.0,0.73,0.1383,19.57306562228223,21.206815622282235,21.637315622282234,16.579065622282233,0.5
525.0,3.0,0.74,0.1395,19.11081562228223,20.697815622282228,21.203315622282233,16.38981562228223,0.5
550.0,3.0,0.76,0.1406,18.705565622282233,20.241315622282233,20.805315622282233,16.22081562228223,0.5
575.0,3.0,0.77,0.1415,18.346315622282233,19.83331562228223,20.43806562228223,16.067815622282232,0.5
600.0,3.0,0.78,0.1426,18.03331562228223,19.462065622282232,20.086315622282235,15.925815622282231,0.5
650.0,3.0,0.8,0.1449,17.49581562228223,18.82806562228223,19.43181562228223,15.682315622282232,0.5
700.0,3.0,0.83,0.1473,17.030565622282232,18.265065622282233,18.85831562228223,15.463315622282233,0.5
750.0,3.0,0.86,0.1496,16.61956562228223,17.758565622282234,18.350065622282234,15.266315622282232,0.5
800.0,3.0,0.88,0.152,16.256815622282232,17.30131562228223,17.87906562228223,15.080315622282232,0.5
850.0,3.0,0.91,0.1544,15.931065622282233,16.887065622282233,17.431565622282232,14.900565622282231,0.5
900.0,3.0,0.94,0.157,15.635065622282232,16.51081562228223,16.994815622282232,14.726815622282231,0.5
950.0,3.0,0.97,0.1596,15.366815622282232,16.167565622282233,16.562065622282233,14.560315622282232,0.5
1000.0,3.0,1.01,0.1623,15.118315622282232,15.841565622282232,16.157065622282232,14.398815622282232,0.5
1100.0,3.0,1.09,0.1686,14.65706562228223,15.20956562228223,15.44281562228223,14.07006562228223,0.5
1200.0,3.0,1.15,0.1733,14.264815622282232,14.654815622282232,14.905315622282231,13.771565622282232,0.5
1300.0,3.0,1.21,0.1782,13.90631562228223,14.176565622282231,14.478815622282234,13.484565622282233,0.5
1400.0,3.0,1.28,0.1831,13.567565622282231,13.767315622282233,14.100315622282231,13.219815622282232,0.5
1500.0,3.0,1.37,0.1894,13.223065622282233,13.394065622282232,13.77731562228223,12.982565622282232,0.5
1600.0,3.0,1.48,0.1968,12.867565622282232,13.02281562228223,13.39256562228223,12.723565622282232,0.5
1700.0,3.0,1.64,0.2068,12.48856562228223,12.640065622282233,12.983315622282232,12.442565622282231,0.5
1800.0,3.0,1.79,0.2162,12.130065622282231,12.281565622282232,12.628315622282232,12.188565622282233,0.5
1900.0,3.0,1.98,0.2276,11.768815622282231,11.91381562228223,12.26756562228223,11.92081562228223,0.5
2000.0,3.0,2.24,0.2418,11.401815622282232,11.534315622282232,11.895315622282233,11.636815622282231,0.5
2100.0,3.0,2.56,0.2588,11.037065622282231,11.148315622282233,11.511065622282231,11.340565622282233,0.5
2200.0,3.0,2.98,0.2793,10.67281562228223,10.75481562228223,11.11806562228223,11.035815622282232,0.5
2300.0,3.0,3.52,0.3033,10.308315622282231,10.356315622282231,10.722315622282231,10.726815622282233,0.5
2400.0,3.0,4.2,0.3314,9.94206562228223,9.956815622282232,10.32456562228223,10.414815622282232,0.5
200.0,3.255,0.86,0.1117,35.26381562228223,33.12581562228223,32.676815622282234,21.372565622282234,0.5
225.0,3.255,0.89,0.1134,32.83706562228223,31.38406562228223,31.07931562228223,20.69106562228223,0.5
250.0,3.255,0.91,0.1152,30.75456562228223,29.904315622282233,29.66881562228223,20.09556562228223,0.5
275.0,3.255,0.94,0.117,28.955065622282234,28.631065622282232,28.427315622282233,19.57206562228223,0.5
300.0,3.255,0.97,0.1186,27.37606562228223,27.51206562228223,27.33106562228223,19.108815622282233,0.5
325.0,3.255,1.0,0.1203,25.97006562228223,26.50231562228223,26.357565622282234,18.69531562228223,0.5
350.0,3.255,1.02,0.122,24.705565622282233,25.570065622282236,25.48381562228223,18.321565622282233,0.5
375.0,3.255,1.05,0.1236,23.562065622282233,24.690565622282232,24.69081562228223,17.978565622282233,0.5
400.0,3.255,1.08,0.1252,22.54531562228223,23.86631562228223,23.974065622282232,17.664565622282232,0.5
425.0,3.255,1.11,0.1267,21.660065622282232,23.105065622282233,23.33256562228223,17.380315622282232,0.5
450.0,3.255,1.13,0.1281,20.898815622282232,22.41406562228223,22.760565622282233,17.125065622282232,0.5
475.0,3.255,1.15,0.1293,20.24756562228223,21.79456562228223,22.249315622282232,16.89631562228223,0.5
500.0,3.255,1.17,0.1304,19.69781562228223,21.242065622282233,21.78856562228223,16.692315622282234,0.5
525.0,3.255,1.19,0.1314,19.227065622282232,20.745565622282236,21.367065622282233,16.506815622282232,0.5
550.0,3.255,1.21,0.1324,18.81831562228223,20.296315622282233,20.976065622282228,16.337065622282232,0.5
575.0,3.255,1.22,0.1333,18.46006562228223,19.88881562228223,20.61131562228223,16.181065622282233,0.5
600.0,3.255,1.24,0.1343,18.14556562228223,19.523815622282232,20.25881562228223,16.03856562228223,0.5
650.0,3.255,1.28,0.1362,17.606815622282234,18.901565622282234,19.60756562228223,15.794815622282233,0.5
700.0,3.255,1.31,0.138,17.14331562228223,18.355065622282233,19.04006562228223,15.579315622282232,0.5
750.0,3.255,1.35,0.14,16.73731562228223,17.865315622282232,18.529815622282232,15.38181562228223,0.5
800.0,3.255,1.39,0.1419,16.37256562228223,17.41956562228223,18.072565622282234,15.201065622282233,0.5
850.0,3.255,1.43,0.1439,16.04681562228223,17.01556562228223,17.64356562228223,15.029315622282232,0.5
900.0,3.255,1.47,0.146,15.753815622282232,16.647315622282232,17.22806562228223,14.862565622282231,0.5
950.0,3.255,1.51,0.1481,15.48556562228223,16.307565622282233,16.81731562228223,14.701315622282232,0.5
1000.0,3.255,1.55,0.1503,15.23781562228223,15.986065622282231,16.425315622282234,14.54731562228223,0.5
1100.0,3.255,1.64,0.1545,14.793315622282233,15.383565622282232,15.721815622282232,14.252065622282233,0.5
1200.0,3.255,1.74,0.1589,14.397065622282232,14.828065622282232,15.14481562228223,13.95956562228223,0.5
1300.0,3.255,1.84,0.1635,14.03581562228223,14.338565622282232,14.690815622282232,13.674315622282231,0.5
1400.0,3.255,1.95,0.1684,13.693815622282234,13.915315622282233,14.30031562228223,13.403815622282231,0.5
1500.0,3.255,2.08,0.1738,13.359565622282233,13.535815622282232,13.935065622282233,13.15231562228223,0.5
1600.0,3.255,2.23,0.1799,13.022315622282232,13.167815622282234,13.549815622282232,12.89706562228223,0.5
1700.0,3.255,2.4,0.1866,12.67981562228223,12.826065622282233,13.227565622282231,12.67156562228223,0.5
1800.0,3.255,2.6,0.1943,12.337315622282233,12.479815622282231,12.88656562228223,12.432315622282232,0.5
1900.0,3.255,2.84,0.203,11.99706562228223,12.134315622282232,12.546065622282232,12.186065622282232,0.5
2000.0,3.255,3.13,0.2132,11.660065622282232,11.786815622282232,12.20281562228223,11.931315622282233,0.5
2100.0,3.255,3.49,0.2251,11.327565622282233,11.436565622282231,11.851815622282231,11.667565622282233,0.5
2200.0,3.255,3.94,0.2393,10.996315622282232,11.079815622282233,11.488815622282232,11.39306562228223,0.5
2300.0,3.255,4.54,0.2567,10.660065622282232,10.71281562228223,11.119565622282233,11.108815622282231,0.5
2400.0,3.255,5.29,0.2772,10.321565622282233,10.341315622282231,10.747815622282232,10.820315622282234,0.5
200.0,3.505,1.49,0.1103,35.13456562228223,32.75531562228223,32.60606562228223,21.35281562228223,0.5
225.0,3.505,1.53,0.1119,32.73106562228223,31.035815622282232,31.039815622282234,20.681065622282233,0.5
250.0,3.505,1.57,0.1134,30.654065622282232,29.56906562228223,29.652065622282233,20.092565622282233,0.5
275.0,3.505,1.62,0.1149,28.86156562228223,28.30931562228223,28.42756562228223,19.57506562228223,0.5
300.0,3.505,1.66,0.1164,27.29831562228223,27.207815622282233,27.34431562228223,19.11656562228223,0.5
325.0,3.505,1.7,0.1178,25.917065622282234,26.224065622282232,26.38281562228223,18.70731562228223,0.5
350.0,3.505,1.74,0.1192,24.68581562228223,25.32956562228223,25.523065622282232,18.339565622282233,0.5
375.0,3.505,1.78,0.1206,23.574065622282234,24.495565622282236,24.74281562228223,18.003315622282233,0.5
400.0,3.505,1.82,0.122,22.58206562228223,23.720065622282227,24.03781562228223,17.69631562228223,0.5
425.0,3.505,1.86,0.1234,21.70831562228223,23.001565622282236,23.40381562228223,17.41656562228223,0.5
450.0,3.505,1.9,0.1246,20.95156562228223,22.346065622282232,22.83831562228223,17.165565622282234,0.5
475.0,3.505,1.93,0.1256,20.30481562228223,21.75506562228223,22.335065622282233,16.94256562228223,0.5
500.0,3.505,1.96,0.1265,19.756315622282234,21.221065622282232,21.88156562228223,16.74131562228223,0.5
525.0,3.505,1.99,0.1274,19.290315622282233,20.736315622282234,21.46631562228223,16.558065622282232,0.5
550.0,3.505,2.01,0.1282,18.88581562228223,20.29556562228223,21.08231562228223,16.39031562228223,0.5
575.0,3.505,2.04,0.1291,18.523315622282233,19.88231562228223,20.721815622282232,16.228565622282233,0.5
600.0,3.505,2.06,0.1299,18.215065622282232,19.541065622282233,20.36381562228223,16.09431562228223,0.5
650.0,3.505,2.12,0.1315,17.676565622282233,18.925815622282233,19.715815622282232,15.84981562228223,0.5
700.0,3.505,2.17,0.133,17.210815622282233,18.39031562228223,19.153065622282234,15.635565622282233,0.5
750.0,3.505,2.22,0.1346,16.80256562228223,17.91206562228223,18.652565622282232,15.441065622282231,0.5
800.0,3.505,2.27,0.1362,16.43931562228223,17.47981562228223,18.199565622282233,15.26281562228223,0.5
850.0,3.505,2.32,0.1376,16.115815622282234,17.08831562228223,17.783065622282233,15.09906562228223,0.5
900.0,3.505,2.37,0.139,15.824315622282231,16.730065622282233,17.393815622282233,14.945565622282231,0.5
950.0,3.505,2.42,0.1405,15.561565622282231,16.40206562228223,17.00931562228223,14.79581562228223,0.5
1000.0,3.505,2.47,0.1422,15.317565622282231,16.088565622282232,16.63531562228223,14.648065622282232,0.5
1100.0,3.505,2.6,0.1457,14.87606562228223,15.497065622282232,15.944565622282232,14.365815622282232,0.5
1200.0,3.505,2.74,0.1495,14.481065622282232,14.947065622282231,15.348315622282232,14.088565622282232,0.5
1300.0,3.505,2.88,0.1535,14.122565622282233,14.454315622282232,14.86281562228223,13.812565622282232,0.5
1400.0,3.505,3.04,0.1577,13.787065622282233,14.026565622282233,14.46456562228223,13.54881562228223,0.5
1500.0,3.505,3.22,0.1622,13.46406562228223,13.650065622282233,14.10531562228223,13.30406562228223,0.5
1600.0,3.505,3.41,0.1668,13.146565622282232,13.302565622282232,13.755065622282231,13.072815622282231,0.5
1700.0,3.505,3.63,0.1723,12.824315622282231,12.966315622282231,13.429565622282231,12.852065622282232,0.5
1800.0,3.505,3.9,0.1784,12.49806562228223,12.631565622282231,13.099565622282231,12.62656562228223,0.5
1900.0,3.505,4.21,0.1855,12.174565622282232,12.300565622282232,12.772815622282232,12.396565622282232,0.5
2000.0,3.505,4.57,0.1932,11.857815622282232,11.974315622282232,12.449815622282232,12.163315622282232,0.5
2100.0,3.505,5.0,0.2021,11.548565622282233,11.650315622282232,12.124065622282231,11.924315622282231,0.5
2200.0,3.505,5.53,0.2126,11.242065622282231,11.32231562228223,11.78531562228223,11.674065622282232,0.5
